COMMENT,Currency,Time_Span,Measure_Type,INPUT,CNTRCT_DRVTS,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST,TR_B,GL_OP,S1520,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST,BK_B,GL_OP,S1521,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST,BK_B,GL_OP,S1522,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST,TR_B,GL_OP,S1524,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST,BK_B,GL_OP,S1525,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1528,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1529,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1530,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1531,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1533,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1534,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1537,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1538,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1539,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1540,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1542,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1543,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_SOLD,TR_B,GL_OP,S1555,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_SOLD,TR_B,GL_OP,S1556,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_SOLD,BK_B,GL_OP,S1557,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_SOLD,BK_B,GL_OP,S1558,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_SOLD,TR_B,GL_OP,S1560,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_SOLD,BK_B,GL_OP,S1561,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_PURCHASE,TR_B,GL_OP,S1564,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_PURCHASE,TR_B,GL_OP,S1565,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_PURCHASE,BK_B,GL_OP,S1566,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_PURCHASE,BK_B,GL_OP,S1567,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_PURCHASE,TR_B,GL_OP,S1569,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_PURCHASE,BK_B,GL_OP,S1570,2019-Q2
N_A,INR,N_A,NPTDM,ERNER,OTH_CON,TR_B,GL_OP,S1582,2019-Q2
N_A,INR,N_A,NPOUT,ERNER,OTH_CON,TR_B,GL_OP,S1583,2019-Q2
N_A,INR,N_A,NPTDM,ERNER,OTH_CON,BK_B,GL_OP,S1584,2019-Q2
N_A,INR,N_A,NPOUT,ERNER,OTH_CON,BK_B,GL_OP,S1585,2019-Q2
N_A,INR,N_A,CREEQ,ERNER,OTH_CON,TR_B,GL_OP,S1587,2019-Q2
N_A,INR,N_A,CREEQ,ERNER,OTH_CON,BK_B,GL_OP,S1588,2019-Q2
N_A,INR,N_A,NPTDM,TERTBRT,OTH_CON,TR_B,GL_OP,S1582,2019-Q2
N_A,INR,N_A,NPOUT,TERTBRT,OTH_CON,TR_B,GL_OP,S1583,2019-Q2
N_A,INR,N_A,NPTDM,TERTBRT,OTH_CON,BK_B,GL_OP,S1584,2019-Q2
N_A,INR,N_A,NPOUT,TERTBRT,OTH_CON,BK_B,GL_OP,S1585,2019-Q2
N_A,INR,N_A,CREEQ,TERTBRT,OTH_CON,TR_B,GL_OP,S1587,2019-Q2
N_A,INR,N_A,CREEQ,TERTBRT,OTH_CON,BK_B,GL_OP,S1588,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1607,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1608,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1609,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1610,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1611,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1612,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1613,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1614,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1615,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1616,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1617,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1618,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1619,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1620,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1621,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1622,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1623,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1624,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1625,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1626,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1627,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1628,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1629,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1630,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1631,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1632,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1633,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1634,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1635,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1636,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1637,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1638,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1639,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1640,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1641,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1642,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1643,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1644,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1645,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1646,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1647,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1648,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1649,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1650,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1651,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1661,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1662,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1663,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1664,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1665,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1666,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1667,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1668,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1669,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1670,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1671,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1672,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1673,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1674,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1675,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1676,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1677,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1678,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1688,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1689,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1690,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1691,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1692,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1693,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1694,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1695,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1696,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1697,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1698,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1699,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1700,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1701,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1702,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1703,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1704,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1705,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1706,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1707,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1708,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1709,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1710,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1711,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1712,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1713,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1714,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1715,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1716,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1717,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1718,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1719,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1720,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1721,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1722,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1723,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1724,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1725,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1726,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1727,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1728,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1729,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1730,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1731,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1732,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1742,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1743,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1744,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1745,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1746,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1747,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1748,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1749,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1750,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,N_A,GL_OP,S1751,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,N_A,GL_OP,S1752,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,TR_B,GL_OP,S1753,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,TR_B,GL_OP,S1754,2019-Q2
N_A,INR,N_A,NPTDM,N_A,N_A,BK_B,GL_OP,S1755,2019-Q2
N_A,INR,N_A,NPOUT,N_A,N_A,BK_B,GL_OP,S1756,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,N_A,GL_OP,S1757,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,TR_B,GL_OP,S1758,2019-Q2
N_A,INR,N_A,CREEQ,N_A,N_A,BK_B,GL_OP,S1759,2019-Q2
